as_of_date,industry_name,adoption_rate,sample_size
2025-09-06,Hospitality & Tourism,0.7230769230769231,1170
2025-09-06,Agriculture,0.68,900
2025-09-06,Construction,0.6666666666666666,1188
2025-09-06,Manufacturing,0.6610169491525424,1062
2025-09-06,Healthcare,0.6071428571428571,1008
2025-09-06,Financial Services,0.5833333333333334,1080
2025-09-06,Education,0.574468085106383,846
2025-09-06,Transport & Logistics,0.5555555555555556,1296
2025-09-06,Information Technology,0.546875,1152
2025-09-06,Retail & Wholesale,0.4918032786885246,1098
